,0
0,1545.9947759098814
1,821.8227335430934
2,592.156733093183
3,471.21432277564185
4,396.56113701375597
5,347.80690324589636
6,313.804179180239
7,288.2916107088094
8,268.6542865234665
9,253.2025623873435
10,240.91045275995396
11,230.32235427974126
12,222.37979089874818
13,218.22944958212406
14,210.11492019914647
15,204.91348068122818
16,200.85545556541817
17,199.55414282617923
18,195.1002776049731
19,194.66222146124593
20,193.17255263070763
21,191.39810550810094
22,190.4925690891266
23,189.45116214995258
24,189.2070748952936
25,188.80729433751858
26,189.34126842174655
27,192.5283136723777
28,208.82403655874805
29,206.42875561554507
30,203.79030179539478
31,201.49632488110066
32,199.48539255047768
33,197.4879672744221
34,195.8266203829473
35,195.21195718662256
36,192.6627484521245
37,192.41611428345337
38,190.36158785279764
39,190.45468205917865
40,189.5376820349773
41,188.9147374876045
42,208.60433362604417
43,187.48088455999152
44,191.46226760311166
45,203.41299418886894
46,186.12064455317883
47,200.41857300272795
48,198.90667523130395
49,197.599509570885
50,196.5630852747202
51,195.38896637104938
52,194.33571121577938
53,193.26277322784193
54,192.08062107842363
55,191.30122755399861
56,190.59030537376114
57,189.75170316050705
58,189.03896895836527
59,189.11455496562232
60,187.94844993219232
61,188.05079924669224
62,187.0027104521041
63,187.08214501064674
64,186.70761634429866
65,186.365350531738
66,186.1701489268769
67,185.98038323208402
68,185.44020650779137
69,185.12333644118445
70,184.901812365659
71,184.8177550195901
72,192.1054811333624
73,184.15959118497045
74,190.67714554021697
75,190.10492351996027
76,189.51611174095314
77,189.5320542238595
78,188.60966355079503
79,188.4885981545591
80,188.16258240507426
81,187.85884972648745
82,187.15483444384404
83,187.02828757948012
84,186.87845242108085
85,187.70198511294407
86,186.31043461846625
87,185.9567135921844
88,185.77159883704172
89,192.52535548372714
90,191.99531855211436
91,191.4047347307448
92,190.86538653776586
93,190.84924849933634
94,189.94863808180088
95,189.48051564319076
96,189.07868746869127
97,188.68733866831388
98,0.0
99,0.0
