,0
0,1.1495299427154424
1,2.26429498686447
2,3.3037351907004258
3,4.327589289069741
4,5.303483023511343
5,6.217553247328545
6,7.065625127144597
7,7.879893706112593
8,4.839731903469183
9,9.391891679906783
10,5.771841886554981
11,10.671947856649744
12,11.315600953458798
13,11.87853167158634
14,7.509878937841406
15,7.92187737161348
16,8.322537287582819
17,8.68330356198166
18,9.07127129351386
19,9.437924021541965
20,0.0
21,10.116886375747427
22,10.452664032609782
23,10.75384283814869
24,11.107214722103972
25,11.393466356674363
26,11.688779334249467
27,11.97865821882383
28,12.269567032430109
29,12.551623330898574
30,0.0
31,0.0
32,0.0
33,13.535790255591678
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
